token,score
▁,2.5258807436698345
i,3.925444541719096
w,4.9592838974754
s,4.034784722267549
h,3.978668236397725
a,3.7772470637454205
d,4.298901890163798
b,5.393734427767075
e,3.3267859004014104
t,3.650967184009231
r,4.1507147468841845
n,3.9430475370272204
o,3.834637121171824
q,8.487737353995318
u,4.785642693559053
.,5.31299324671119
l,4.436890707055656
g,5.0066131528063815
",",5.581891040870893
y,5.121304023799014
k,5.678236600764365
p,5.3531976320922
c,5.018006531487075
x,7.840321710901979
m,4.926352918324864
v,5.984124953865347
f,5.158166721577117
j,7.503489146101052
z,8.220116919668484
:,10.110149076149186
?,7.866769950083613
5,11.594529063446698
4,11.656240418944035
3,11.473068155312934
2,11.056732115664564
;,9.626615550486203
!,9.596626293703471
-,7.847193119090171
1,10.59419074908938
6,11.994084633142831
0,10.735980866902375
',6.562832950245592
*,9.508814389326023
7,11.953863961846032
8,11.938069610009808
9,11.62187962875698
/,11.934182785599111
"""",6.538166187215922
%,14.4235095622277
(,11.119122696741448
),11.104341428865208
#,13.51364074269338
=,14.9487252679827
@,14.275060765908016
&,14.072472524316593
[,14.0220416706897
],14.016653826722576
~,12.540699662530658
$,13.879400445821986
^,14.714071740725727
>,13.72163354204034
`,14.369076198846258
{,15.504466219859946
},15.508576377721775
<,14.130345742710997
_,12.877375197671034
+,15.48980797694873
\,17.04190784558012
|,16.34115606563496
,22.61025234934122
,14.93702922821951
,19.777039005285
,17.668609926731914
,21.51164006067311
▁t,4.6007245184352685
he,4.709433315223831
th,4.835488962287236
▁a,4.962014276192158
▁th,5.0695723809311835
▁h,5.146591862100383
in,5.18046261519472
▁s,5.250992103159745
the,5.318704969434831
▁w,5.346237058655246
er,5.380574615629705
▁the,5.410376443595798
an,5.430685202070427
ed,5.6248586671873095
re,5.6491517967137925
▁o,5.655597072735054
ou,5.663624968354748
nd,5.744735844181225
▁b,5.761019272923792
ng,5.781314993367896
▁i,5.785039652371196
to,5.793930189479678
ha,5.844987751676675
▁m,5.868593599754649
at,5.900733985256684
on,5.924178544127599
ing,5.931254994734451
hi,5.945997097352787
▁he,5.959132496375514
▁f,5.984735844272433
en,5.990549211389596
▁to,5.998978559501703
▁c,6.011354150416744
▁an,6.04903106794541
as,6.049929409657885
it,6.083179830394576
and,6.083629018073468
st,6.115827549926808
ar,6.143561175241523
or,6.1628549656308165
is,6.163081610474354
▁d,6.197416393959212
wa,6.226788412049074
te,6.255603854830778
▁and,6.278382502720636
me,6.284607468916719
ve,6.285484701353995
le,6.291846740706072
ea,6.301423369948855
▁l,6.310228468932003
her,6.350636129385397
ne,6.3851846020191365
se,6.390655901866922
es,6.401177246293573
▁wa,6.409360584812815
▁p,6.418113521185467
al,6.42578682394693
ll,6.427908531894159
nt,6.453294991972519
ro,6.4841193842988565
sh,6.488138283039377
of,6.488180314685827
▁of,6.532283517926613
▁in,6.55338975525841
be,6.560211046135348
ti,6.587816859423512
▁hi,6.602360590943981
li,6.610287069353209
▁g,6.615642715166221
▁ha,6.621689922915569
ut,6.623439535190616
de,6.626147968163284
▁n,6.665342553073305
▁r,6.669513042273304
ho,6.698946454949665
el,6.706456719240401
▁sh,6.7176451217620174
▁e,6.72050879062672
▁y,6.7301790166143265
▁be,6.732758257762372
ow,6.741318559385694
co,6.744609216900025
om,6.752677922293524
ad,6.754316843684124
ee,6.760418177288415
his,6.781127334009067
no,6.784570615039061
yo,6.790645352165682
ri,6.807592089276786
lo,6.807919229032133
hat,6.822296964309797
you,6.849221575478541
▁yo,6.851508937365426
ch,6.8546131803931
ke,6.855259686573022
▁you,6.855447047369568
oo,6.859675077588129
was,6.868008782418578
▁was,6.870200043373429
▁her,6.883919217241954
ur,6.88747981083845
we,6.895576200171043
ly,6.895623504427237
ac,6.897528460847903
et,6.899138205643326
id,6.902359160051717
ot,6.909072516350096
us,6.924034213330158
ce,6.938429426114637
wh,6.940798602631669
▁co,6.94135334212396
ma,6.942924606091202
fo,6.947770913605335
wi,6.955536394393863
ai,6.96678653202979
ra,6.975104381602395
▁wh,6.98062837707014
la,6.986907877728043
tha,6.987105692158086
▁it,6.991233115194447
ld,6.997393468924667
ul,7.005210970408213
▁tha,7.010158677365871
gh,7.012735732392193
il,7.015767539164058
ta,7.022991680812526
ca,7.030339301848414
un,7.031267948556193
▁on,7.035559234305631
so,7.042017025936318
she,7.046857932545449
im,7.057000377961139
pe,7.06151208762652
▁his,7.076837172494486
ere,7.079417641500934
si,7.095340696155039
▁wi,7.097051089491288
do,7.12558771670971
that,7.1364897150614075
▁st,7.136815855651466
di,7.140336440659936
▁that,7.141070748966026
▁she,7.146774943474117
for,7.150955593734115
ck,7.160567169763766
ge,7.163733011982709
▁fo,7.17072289997033
thi,7.188448819086923
▁we,7.21756016412236
▁no,7.219608408354872
mo,7.221989855257501
ic,7.225129286887174
ay,7.24180164047336
